"wbs";"id";"name";"start";"end";"duration";"effort";"effortdone";"effortleft";"priority";"responsible";"resources";"status";"active_sub_tasks";"open_sub_tasks";"closed_sub_tasks";"complete";"followers";"depends_on";"path_criticalness";"schedule_gauge";"cost"
"4.11.1.1.7";"task5.task1121.task1122.task1123.task1130";"        موزاییک شیب بندی بام بلوک 5";"2017-12-07";"2017-12-07";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"108450000,00"
"4.11.1.1.8";"task5.task1121.task1122.task1123.task1131";"        گاترشیب بندی بام بلوک 5";"2017-12-07";"2017-12-07";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"1801837,00"
"4.12";"task5.task1132";"  بلوک 8";"2017-07-24";"2018-05-11";291.0;0.0;0.0;0.0;500;"";"";"in progress";56;0;56;"63%";"";"";1.0;"behind schedule";"35147130992,00"
"4.12.1";"task5.task1132.task1133";"    راهرو";"2017-11-03";"2018-03-24";141.0;0.0;0.0;0.0;500;"";"";"in progress";4;0;4;"96%";"";"";1.0;"behind schedule";"6309851439,00"
"4.12.1.1";"task5.task1132.task1133.task1134";"      سفتکاری";"2017-11-03";"2017-12-07";34.0;0.0;0.0;0.0;500;"";"";"done";1;0;1;"100%";"";"";1.0;"on schedule";"80308800,00"
"4.12.1.1.1";"task5.task1132.task1133.task1134.task1135";"        آهن کشی ودیوارچینی درزژوئن راهرو بلوک 8";"2017-12-07";"2017-12-07";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"40154400,00"
"4.12.1.2";"task5.task1132.task1133.task1136";"      نازک کاری";"2018-01-28";"2018-03-24";55.0;0.0;0.0;0.0;500;"";"";"in progress";3;0;3;"94%";"";"";1.0;"behind schedule";"4126258826,00"
"4.12.1.2.1";"task5.task1132.task1133.task1136.task1137";"        زیرسازی سقف کاذب راهرو بلوک 8";"2018-03-24";"2018-03-24";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"465344880,00"
"4.12.1.2.2";"task5.task1132.task1133.task1136.task1138";"        نصب پنل سقف کاذب راهرو بلوک 8";"2018-03-24";"2018-03-24";0.0;0.0;0.0;0.0;500;"";"";"done";0;0;1;"100%";"";"";1.0;"on schedule";"434183765,00"
"4.12.1.2.3";"task5.task1132.task1133.task1136.task1139";"        کفسازی راهرو بلوک 8";"2018-03-24";"2018-03-24";0.0;0.0;0.0;0.0;500;"";"";"in progress";0;0;1;"91%";"";"";1.0;"behind schedule";"1163600768,00"
"4.12.2";"task5.task1132.task1140";"    لابی آسانسور";"2017-12-07";"2018-02-18";73.0;0.0;0.0;0.0;500;"";"";"in progress";4;0;4;"99%";"";"";1.0;"behind schedule";"3741666972,00"
