"BSI";"Name";"2020-08-01";"2020-09-01";"2020-10-01";"2020-11-01";"2020-12-01";"2021-01-01";"2021-02-01";"2021-03-01";"2021-04-01";"2021-05-01";"2021-06-01";"2021-07-01"
"1";"Primary cost account";"0,00";"128091,75";"171498,50";"232139,75";"232139,75";"232139,75";"232139,75";"232139,75";"232139,75";"232139,75";"232139,75";"232139,75"
"1.1";"  Resources costs";"0,00";"14119,88";"20184,75";"26017,88";"26017,88";"26017,88";"26017,88";"26017,88";"26017,88";"26017,88";"26017,88";"26017,88"
"1.2";"  Tasks costs";"0,00";"113971,88";"151313,75";"206121,88";"206121,88";"206121,88";"206121,88";"206121,88";"206121,88";"206121,88";"206121,88";"206121,88"
"2";"Primary revenue account";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
